_best_bound,_dettime,_linear_nonzeros,_miprelgap,_n_iterations,_n_nodes_processed,_ncolumns,_problem_type,_quality_metrics,_solve_status,_solve_status_code,_time,binary_variables,constraints,cuts_BQP,cuts_GUB_cover,cuts_MIR,cuts_RLT,cuts_benders,cuts_clique,cuts_cover,cuts_disjunctive,cuts_flow_cover,cuts_flow_path,cuts_fractional,cuts_implied_bound,cuts_lift_and_project,cuts_local_implied_bound,cuts_multi_commodity_flow,cuts_solution_pool,cuts_table,cuts_user,cuts_zero_half,integer_variables,linear_relaxation,name,objective_value
34.0,266.90518856048584,51156,0.0,136,0,1884,MILP,{},integer optimal solution,101,0.36808204650878906,1860,10710,0,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,3,24,33.0,dr_bf_m:21n-72m-Italian_100_50_12_1.0,34.0
33.0,464.62888050079346,6564,0.0,2346,0,708,MILP,{},integer optimal solution,101,0.5160970687866211,356,1486,0,0,39,0,0,0,19,0,60,0,3,2,4,0,11,0,0,0,26,352,12.25,dr_bf_f:24n-86m-UBN24_30_9_22_0.2,33.0
17.0,63.84192657470703,1306,0.0,507,0,294,MILP,{},integer optimal solution,101,0.06863808631896973,146,335,0,0,20,0,0,0,10,0,24,0,4,1,0,0,9,0,0,0,15,148,7.333333333333332,dr_bf_f:21n-72m-Italian_30_15_12_0.2,17.0
32.0,76533.53640079498,5263,0.0,974567,142008,290,MILP,{},integer optimal solution,101,39.65001320838928,280,1065,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,702,18,10,5.0,dr_bf_c:11n-52m-Pan-European-COST239_100_30_30_0.2,32.0
nan,106035.65911483765,309610,nan,0,0,3074,MILP,{},"time limit exceeded, no integer solution",108,60.015970945358276,3016,62205,,,,,,,,,,,,,,,,,,,,58,29.0,dr_bf_c:19n-76m-EON19_30_3_80_0.5,
23.0,56.96465301513672,4296,0.0,884,0,942,MILP,{},integer optimal solution,101,0.06693911552429199,936,807,0,0,6,0,0,27,66,0,1,0,14,1,0,0,20,0,0,0,52,6,11.5,dr_bf_m:20n-62m-ARPANet_100_50_12_0.5,23.0
95.0,4386.341303825378,25672,0.0,114766,2925,1384,MILP,{},integer optimal solution,101,6.199988126754761,712,5516,0,1,299,0,0,16,103,0,339,12,31,24,41,0,0,0,0,0,86,672,31.540079365079364,dr_bf_f:28n-82m-EURO28_30_3_58_0.2,95.0
32.0,213.02394104003906,74070,0.0,79,0,1998,MILP,{},integer optimal solution,101,0.22641801834106445,1962,15381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32.0,dr_bf_m:16n-46m-EURO_10_3_18_1.0,32.0
28.046218487394963,108754.06049442291,4604,0.17511122095845663,659050,32163,324,MILP,{},time limit exceeded,107,60.00217604637146,316,930,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5464,7,8,4.0,dr_bf_c:19n-76m-EON19_30_9_26_0.2,34.0
nan,53780.66809654236,10844441,nan,0,0,5336,MILP,{},"time limit exceeded, no integer solution",108,60.050721883773804,,2711036,,,,,,,,,,,,,,,,,,,,,58.0,dr_sc_c:28n-82m-EURO28_10_1_58_1.0,
