_quality_metrics,cuts_solution_pool,name,cuts_MIR,cuts_disjunctive,cuts_implied_bound,cuts_fractional,cuts_lift_and_project,cuts_GUB_cover,cuts_clique,cuts_flow_path,cuts_cover,_n_iterations,variables_user,variables,_n_nodes_processed,cuts_RLT,_dettime,_best_bound,cuts_zero_half,variables_integer,_miprelgap,cuts_benders,_solve_status,linear_relaxation,exception,cuts_user,cuts_flow_cover,cuts_local_implied_bound,variables_binary,_linear_nonzeros,cuts_table,_ncolumns,_solve_status_code,constraints,_time,_problem_type,variables_continuous,cuts_multi_commodity_flow,cuts_BQP,objective_value
{},0,dr_bf_m:15n-46m-NSF_10_1_60_0.5,43,0,0,47,0,0,100,0,350,3756,4014,4014,0,0,1672.5555782318115,93.0,174,38,0.0,0,integer optimal solution,46.0,,0,2,0,3976,88232,0,4014,101,17715,2.572129964828491,MILP,0,0,0,93.0
{},0,dr_aov_f:11n-52m-Pan-European-COST239_100_10_94_0.5,255,0,125,134,19,0,1,0,142,160921,4384,4384,2862,0,14599.214935302734,111.0,593,1728,0.0,0,integer optimal solution,53.25,,0,382,0,2656,264704,0,4384,101,79456,33.43551301956177,MILP,0,0,0,111.0
{},0,dr_aov_f:30n-112m-Spain_30_3_74_0.2,612,0,4,29,54,2,1,3,239,78768,3094,3094,1489,0,9924.414192199707,128.0,115,1482,0.0,0,integer optimal solution,42.92619047619048,,0,698,0,1612,93236,0,3094,101,28080,20.633496046066284,MILP,0,0,0,128.0
{},0,dr_ob_f:28n-68m-EON_30_3_48_0.2,162,0,35,32,4,0,27,10,38,12987,1152,1152,343,0,1374.1202754974365,85.99999999999993,140,552,0.0,0,integer optimal solution,30.353571428571428,,0,136,0,600,21288,0,1152,101,4620,1.6743581295013428,MILP,0,9,0,85.99999999999993
{},0,dr_bf_f:28n-68m-EON_100_50_8_1.0,0,0,0,0,0,0,0,0,0,101,1160,1160,0,0,103.80100154876709,34.0,1,560,0.0,0,integer optimal solution,34.0,,0,3,0,600,21304,0,1160,101,4620,0.10872006416320801,MILP,0,0,0,34.0
{},0,dr_bf_f:21n-70m-SpanishTelefonica_100_50_12_1.0,0,0,0,0,0,0,0,0,0,64,1836,1836,0,0,135.05577182769775,27.0,0,864,0.0,0,integer optimal solution,,,0,0,0,972,49740,0,1836,101,10422,0.14287090301513672,MILP,0,0,0,27.0
{},0,dr_aov_m:15n-46m-NSF_100_50_12_1.0,0,0,6,1,0,0,1,0,0,138,1260,1260,0,0,103.48001384735107,30.0,2,24,0.0,0,integer optimal solution,29.0,,0,0,0,1236,32616,0,1260,101,9864,0.16162490844726562,MILP,0,0,0,30.0
{},0,dr_ob_m:24n-86m-UBN24_10_1_70_0.2,118,0,2,44,4,1,290,0,613,12379,7307,7307,0,0,2831.293480873108,109.0,196,13,0.0,0,integer optimal solution,40.11309523809522,,0,2,0,7294,86440,0,7307,101,16318,4.289834976196289,MILP,0,7,0,109.0
{},0,dr_bf_f:24n-86m-UBN24_30_3_70_1.0,0,0,0,0,0,0,0,0,0,1023,17010,17010,0,0,29729.089455604553,232.0,0,6160,0.0,0,integer optimal solution,232.0,,0,0,0,10850,2106090,0,17010,101,425635,31.318392992019653,MILP,0,0,0,232.0
{},0,dr_aov_m:6n-9m-n6s9_10_3_20_0.2,6,0,0,10,0,0,49,0,65,531,480,480,0,0,28.098093032836914,22.0,40,10,0.0,0,integer optimal solution,9.666666666666668,,0,1,0,470,2990,0,480,101,760,0.051946163177490234,MILP,0,0,0,22.0
{},0,dr_bf_f:21n-70m-SpanishTelefonica_10_1_66_0.5,272,0,10,54,7,1,0,11,108,121867,3402,3402,2928,0,22453.469648361206,122.0,216,1512,0.0,0,integer optimal solution,55.83333333333333,,0,269,0,1890,153384,0,3402,101,31563,39.551169872283936,MILP,0,0,0,122.0
{},0,dr_bf_f:14n-46m-Generic-Deutsche-Telekom-DT_100_10_64_1.0,0,0,0,0,0,0,0,0,0,607,10048,10048,0,0,11671.178833007812,145.0,0,3072,0.0,0,integer optimal solution,145.0,,0,0,0,6976,943424,0,10048,101,191456,11.484468936920166,MILP,0,0,0,145.0
{},0,dr_ob_f:16n-46m-EURO_30_15_10_1.0,5,0,0,0,0,0,0,0,0,72,1020,1020,0,0,84.15157985687256,26.0,6,470,0.0,0,integer optimal solution,26.0,,0,1,0,550,22650,0,1020,101,4825,0.08751392364501953,MILP,0,0,0,26.0
{},0,dr_bf_f:43n-176m-EuroLarge_10_3_26_0.5,102,0,3,30,0,0,0,0,17,29603,4004,4004,1000,0,6276.941813468933,61.0,190,1958,0.0,0,integer optimal solution,32.583333333333336,,0,116,0,2046,104698,0,4004,101,21846,10.485130071640015,MILP,0,0,0,61.0
{},0,dr_ob_m:6n-9m-n6s9_30_15_12_0.5,3,0,0,6,0,0,15,0,10,165,331,331,0,0,18.757628440856934,13.0,10,5,0.0,0,integer optimal solution,9.083333333333334,,0,3,0,326,2568,0,331,101,542,0.035459041595458984,MILP,0,16,0,13.0
{},0,dr_aov_m:28n-68m-EON_10_3_16_0.5,15,0,5,16,0,0,64,0,58,742,1538,1538,0,0,107.82150554656982,41.0,37,12,0.0,0,integer optimal solution,30.5,,0,0,0,1526,13896,0,1538,101,3928,0.15615391731262207,MILP,0,0,0,41.0
{},0,dr_aov_f:21n-70m-SpanishTelefonica_30_9_22_0.2,28,0,4,4,0,0,0,0,22,1398,580,580,0,0,211.0721549987793,32.0,39,288,0.0,0,integer optimal solution,12.416666666666664,,0,63,0,292,5336,0,580,101,1632,0.28208017349243164,MILP,0,0,0,32.0
{},0,dr_bf_m:30n-112m-Spain_10_3_24_1.0,1,0,0,0,0,0,0,0,0,251,5976,5976,0,0,2037.844778060913,70.0,1,48,0.0,0,integer optimal solution,70.0,,0,0,0,5928,320520,0,5976,101,65556,2.1906588077545166,MILP,0,0,0,70.0
{},0,dr_ob_m:21n-72m-Italian_10_1_68_0.5,47,0,0,63,0,0,51,0,204,5352,7321,7321,0,0,3467.5874853134155,140.0,125,25,0.0,0,integer optimal solution,96.16666666666669,,0,2,0,7296,233138,0,7321,101,46778,3.928284168243408,MILP,0,0,0,140.0
{},0,dr_bf_f:20n-62m-ARPANet_10_1_62_0.2,168,0,4,34,13,0,0,15,62,15993,1350,1350,610,0,1966.72004032135,84.0,98,640,0.0,0,integer optimal solution,27.833333333333332,,0,212,0,710,30510,0,1350,101,6465,3.1533279418945312,MILP,0,0,0,84.0
{},0,dr_ob_f:20n-78m-EON20_100_10_78_1.0,0,0,0,0,0,0,0,0,0,795,18252,18252,0,0,23666.426372528076,200.0,1,6162,0.0,0,integer optimal solution,199.99999999999997,,0,0,0,12090,2372838,0,18252,101,479271,24.908382892608643,MILP,0,0,0,200.0
{},0,dr_aov_f:16n-46m-EURO_100_50_10_1.0,0,0,4,0,0,0,0,0,0,64,1030,1030,0,0,57.86831092834473,22.0,0,480,0.0,0,integer optimal solution,22.0,,0,0,0,550,22580,0,1030,101,6850,0.06248903274536133,MILP,0,0,0,22.0
{},0,dr_ob_f:11n-52m-Pan-European-COST239_10_3_30_0.5,16,0,0,31,1,0,0,0,29,256,1140,1140,0,0,165.09537315368652,33.0,29,530,0.0,0,integer optimal solution,15.333333333333332,,0,42,0,610,25590,0,1140,101,5375,0.2687339782714844,MILP,0,0,0,33.0
{},0,dr_aov_m:14n-46m-Generic-Deutsche-Telekom-DT_10_1_64_0.5,43,0,21,46,1,0,65,0,224,3877,4744,4744,0,0,1232.1800260543823,110.0,257,50,0.0,0,integer optimal solution,77.83333333333331,,0,1,0,4694,148082,0,4744,101,43496,2.180872917175293,MILP,0,0,0,110.0
{},0,dr_ob_m:30n-112m-Spain_30_15_14_1.0,0,0,0,0,0,0,0,0,0,127,3332,3332,0,0,259.2733507156372,41.0,0,14,0.0,0,integer optimal solution,,,0,0,0,3318,108402,0,3332,101,22491,0.28882908821105957,MILP,0,0,0,41.0
{},0,dr_bf_m:28n-82m-EURO28_30_9_18_0.2,7,0,0,15,0,0,57,0,93,1622,1734,1734,0,0,111.46442317962646,26.0,42,6,0.0,0,integer optimal solution,8.333333333333332,,0,1,0,1728,7152,0,1734,101,1251,0.14100098609924316,MILP,0,38,0,26.0
{},0,dr_aov_m:10n-44m-SmallNet_100_50_16_0.5,6,0,6,7,0,0,7,0,51,706,1010,1010,0,0,61.73203945159912,18.0,29,12,0.0,0,integer optimal solution,12.5,,0,1,0,998,9000,0,1010,101,2416,0.1035909652709961,MILP,0,0,0,18.0
{},0,dr_bf_m:10n-44m-SmallNet_100_50_16_0.2,3,0,0,18,0,0,10,0,23,546,848,848,0,0,35.98854160308838,16.0,12,6,0.0,0,integer optimal solution,4.6571428571428575,,0,1,0,842,3582,0,848,101,565,0.059760093688964844,MILP,0,35,0,16.0
{},0,dr_ob_m:10n-44m-SmallNet_100_10_86_0.2,63,0,2,29,0,0,129,0,512,6623,4669,4669,0,0,1086.7535276412964,88.0,198,15,0.0,0,integer optimal solution,22.15873015873016,,0,22,0,4654,58452,0,4669,101,10895,2.4511098861694336,MILP,0,0,0,88.0
{},0,dr_ob_f:10n-44m-SmallNet_30_15_16_0.5,11,0,0,13,0,0,0,0,14,329,665,665,0,0,111.34797477722168,20.0,20,315,0.0,0,integer optimal solution,10.5,,0,33,0,350,10528,0,665,101,2261,0.16298985481262207,MILP,0,29,0,20.0
{},0,dr_ob_f:21n-72m-Italian_100_30_22_0.5,55,0,2,8,12,0,3,2,17,2251,1057,1057,0,0,712.7657718658447,45.0,93,511,0.0,0,integer optimal solution,21.75,,0,63,0,546,17192,0,1057,101,3710,1.1111550331115723,MILP,0,15,0,45.0
{},0,dr_aov_f:21n-78m-UKNet_100_50_14_0.5,31,0,4,16,1,0,0,0,12,375,810,810,0,0,81.0084924697876,24.0,51,400,0.0,0,integer optimal solution,11.75,,0,42,0,410,9380,0,810,101,2845,0.11298108100891113,MILP,0,0,0,24.0
{},0,dr_bf_f:10n-44m-SmallNet_30_9_28_0.5,18,0,0,28,0,0,0,0,27,493,990,990,0,0,182.7551040649414,34.0,36,460,0.0,0,integer optimal solution,17.166666666666664,,0,44,0,530,21690,0,990,101,4565,0.27022886276245117,MILP,0,0,0,34.0
{},0,dr_aov_f:21n-72m-Italian_30_15_12_0.5,30,0,7,9,3,0,0,4,11,550,750,750,0,0,101.82525634765625,26.0,64,370,0.0,0,integer optimal solution,13.666666666666668,,0,41,0,380,8660,0,750,101,2635,0.14566302299499512,MILP,0,0,0,26.0
{},0,dr_bf_m:14n-46m-Generic-Deutsche-Telekom-DT_10_3_20_0.5,2,0,1,2,0,0,0,0,1,519,1360,1360,0,0,182.73115062713623,34.0,2,16,0.0,0,integer optimal solution,26.333333333333332,,0,2,0,1344,16096,0,1360,101,3268,0.23937010765075684,MILP,0,2,0,34.0
